approveDate,articleID,articleWordCount,commentID,commentType,createDate,depth,editorsSelection,inReplyTo,parentUserDisplayName,recommendations,sectionName,userDisplayName,userID,userLocation,,,,,,,,,,,,,,,,,,,
1514801023,5a49915f7c459f246b63d661,809,25390312,comment,1514801019,1,False,0,,245,Unknown,Joel A. Levitt,54399408,"Ann Arbor, Michigan",,,,,,,,,,,,,,,,,,,
1514816451,5a4980f57c459f246b63d649,783,25390322,comment,1514801739,1,False,0,,2,Unknown,Jim,69326779,The Netherlands,,,,,,,,,,,,,,,,,,,
1514821734,5a49915f7c459f246b63d661,809,25390344,comment,1514803177,1,False,0,,3,Unknown,Matthew,12550174,MANHATTAN,,,,,,,,,,,,,,,,,,,
1514828314,5a49915f7c459f246b63d661,809,25390351,comment,1514803517,1,True,0,,127,Unknown,jimbo,66286968,"Guilderland, NY",,,,,,,,,,,,,,,,,,,
1514823879,5a49915f7c459f246b63d661,809,25390377,comment,1514805019,1,False,0,,1,Unknown,Larry Lundgren,4501886,Sweden,,,,,,,,,,,,,,,,,,,
1514823842,5a49915f7c459f246b63d661,809,25390381,comment,1514805194,1,False,0,,3,Unknown,Prometheus,23580303,Caucasus Mountains,,,,,,,,,,,,,,,,,,,
1514823864,5a49915f7c459f246b63d661,809,25390384,comment,1514805294,1,False,0,,0,Unknown,ivygrad91,55742147,Alexandria VA,,,,,,,,,,,,,,,,,,,
1514805455,5a49915f7c459f246b63d661,809,25390386,comment,1514805444,1,False,0,,102,Unknown,walterhett,33605332,"Charleston, SC",,,,,,,,,,,,,,,,,,,
1514816453,5a4980f57c459f246b63d649,783,25390393,comment,1514805802,1,False,0,,6,Unknown,Prometheus,23580303,Caucasus Mountains,,,,,,,,,,,,,,,,,,,
1514821703,5a49915f7c459f246b63d661,809,25390399,comment,1514806103,1,False,0,,0,Unknown,Larry Lundgren,4501886,Sweden,,,,,,,,,,,,,,,,,,,
1514817138,5a49915f7c459f246b63d661,809,25390405,comment,1514806338,1,False,0,,1,Unknown,sdw,56679104,Cleveland,,,,,,,,,,,,,,,,,,,
1514815692,5a4980f57c459f246b63d649,783,25390407,comment,1514806480,1,False,0,,1,Unknown,Bruce,32411948,Ms,,,,,,,,,,,,,,,,,,,
1514821719,5a49915f7c459f246b63d661,809,25390418,comment,1514807283,1,False,0,,4,Unknown,A. Stanton,76430734,"Dallas, TX",,,,,,,,,,,,,,,,,,,
1514817148,5a49915f7c459f246b63d661,809,25390425,comment,1514807930,1,False,0,,0,Unknown,Jeffrey Lewis,52000633,Vermont,,,,,,,,,,,,,,,,,,,
1514817155,5a49915f7c459f246b63d661,809,25390429,comment,1514808125,1,False,0,,26,Unknown,rtj,69313662,Massachusetts,,,,,,,,,,,,,,,,,,,
1514815686,5a4980f57c459f246b63d649,783,25390434,comment,1514808757,1,False,0,,27,Unknown,Independent,46988223,the South,,,,,,,,,,,,,,,,,,,
1514817153,5a49915f7c459f246b63d661,809,25390439,comment,1514808981,1,False,0,,11,Unknown,Melanie,26424286,Bronx,,,,,,,,,,,,,,,,,,,
1514816117,5a4980f57c459f246b63d649,783,25390441,comment,1514809043,1,True,0,,418,Unknown,Independent,46988223,the South,,,,,,,,,,,,,,,,,,,
1514817174,5a49915f7c459f246b63d661,809,25390446,comment,1514809313,1,False,0,,15,Unknown,LFK,60787329,VA,,,,,,,,,,,,,,,,,,,
1514817245,5a49915f7c459f246b63d661,809,25390452,comment,1514809501,1,False,0,,50,Unknown,Fred,26826622,Up North,,,,,,,,,,,,,,,,,,,
1514823868,5a49915f7c459f246b63d661,809,25390469,comment,1514810321,1,False,0,,2,Unknown,Good John Fagin,43151661,Chicago Suburbs,,,,,,,,,,,,,,,,,,,
1514817145,5a49915f7c459f246b63d661,809,25390473,comment,1514810426,1,False,0,,2,Unknown,Des  Johnson,81426273,Forest Hills NY,,,,,,,,,,,,,,,,,,,
1514823845,5a49915f7c459f246b63d661,809,25390474,comment,1514810498,1,False,0,,5,Unknown,Robert,66788641,Out West,,,,,,,,,,,,,,,,,,,
1514817174,5a49915f7c459f246b63d661,809,25390477,comment,1514810558,1,False,0,,19,Unknown,Debbie,69655584,Ohio,,,,,,,,,,,,,,,,,,,
1514821740,5a49915f7c459f246b63d661,809,25390479,comment,1514810671,1,False,0,,2,Unknown,Cjmesq0,17222320,"Bronx, NY",,,,,,,,,,,,,,,,,,,
1514821705,5a49915f7c459f246b63d661,809,25390480,comment,1514810706,1,False,0,,3,Unknown,Valerie Elverton Dixon,40246734,"East St Louis, Illinois",,,,,,,,,,,,,,,,,,,
1514815717,5a4980f57c459f246b63d649,783,25390485,comment,1514810834,1,False,0,,4,Unknown,chris jensvold,48350238,vermont,,,,,,,,,,,,,,,,,,,
1514817146,5a49915f7c459f246b63d661,809,25390486,comment,1514810945,1,False,0,,2,Unknown,JP,67398771,Portland,,,,,,,,,,,,,,,,,,,
1514828407,5a49915f7c459f246b63d661,809,25390491,comment,1514811170,1,False,0,,0,Unknown,FunkyIrishman,74014596,member of the resistance,,,,,,,,,,,,,,,,,,,
1514816484,5a4980f57c459f246b63d649,783,25390493,comment,1514811252,1,False,0,,13,Unknown,Maurice Gatien,61891939,South Lancaster Ontario,,,,,,,,,,,,,,,,,,,
1514817154,5a49915f7c459f246b63d661,809,25390495,comment,1514811303,1,False,0,,6,Unknown,Paul Raffeld,37980989,Austin Texas,,,,,,,,,,,,,,,,,,,
1514821705,5a49915f7c459f246b63d661,809,25390496,comment,1514811326,1,False,0,,1,Unknown,Joseph C Bickford,58558081,"Greensboro, NC",,,,,,,,,,,,,,,,,,,
1514816457,5a4980f57c459f246b63d649,783,25390503,comment,1514811407,1,False,0,,58,Unknown,Chris Buczinsky,57932997,"Arlington Heights, Illinois",,,,,,,,,,,,,,,,,,,
1514821711,5a49915f7c459f246b63d661,809,25390506,comment,1514811458,1,False,0,,2,Unknown,Susan Fitzwater,61452160,"Ambler, PA",,,,,,,,,,,,,,,,,,,
1514817152,5a49915f7c459f246b63d661,809,25390509,comment,1514811514,1,False,0,,4,Unknown,Deborah,29917890,Meister,,,,,,,,,,,,,,,,,,,
1514823842,5a49915f7c459f246b63d661,809,25390512,comment,1514811568,1,False,0,,8,Unknown,Tournachonadar,10293673,Illiana,,,,,,,,,,,,,,,,,,,
1514811664,5a49915f7c459f246b63d661,809,25390515,comment,1514811660,1,False,0,,133,Unknown,Lynn,337474,New York,,,,,,,,,,,,,,,,,,,
1514823830,5a49915f7c459f246b63d661,809,25390517,comment,1514811715,1,False,0,,1,Unknown,Chris,59841589,Charlotte,,,,,,,,,,,,,,,,,,,
1514823879,5a49915f7c459f246b63d661,809,25390519,comment,1514811751,1,False,0,,8,Unknown,Rowdy,46624646,"Stuart, Florida",,,,,,,,,,,,,,,,,,,
1514811758,5a49915f7c459f246b63d661,809,25390520,comment,1514811755,1,False,0,,79,Unknown,James Lee,63418614,"Arlington, Texas",,,,,,,,,,,,,,,,,,,
1514816450,5a4980f57c459f246b63d649,783,25390525,comment,1514811916,1,False,0,,2,Unknown,Good John Fagin,43151661,Chicago Suburbs,,,,,,,,,,,,,,,,,,,
1514830053,5a4a0dc97c459f246b63d6c3,1128,25390526,comment,1514811949,1,False,0,,5,Unknown,Paul,47231823,Brooklyn,,,,,,,,,,,,,,,,,,,
1514812063,5a49915f7c459f246b63d661,809,25390533,comment,1514812053,1,False,0,,68,Unknown,A. Stanton,76430734,"Dallas, TX",,,,,,,,,,,,,,,,,,,
1514821710,5a49915f7c459f246b63d661,809,25390535,comment,1514812123,1,False,0,,2,Unknown,Bulk Apperception,7282,NYC,,,,,,,,,,,,,,,,,,,
1514815688,5a4980f57c459f246b63d649,783,25390537,comment,1514812203,1,False,0,,5,Unknown,Robert Shaffer,65784017,appalachia,,,,,,,,,,,,,,,,,,,
1514817182,5a49915f7c459f246b63d661,809,25390539,comment,1514812258,1,False,0,,0,Unknown,Bartolo,987051,Central Virginia,,,,,,,,,,,,,,,,,,,
1514817141,5a49915f7c459f246b63d661,809,25390542,comment,1514812298,1,False,0,,3,Unknown,GraceNeeded,32790096,"Albany, NY",,,,,,,,,,,,,,,,,,,
1514816458,5a4980f57c459f246b63d649,783,25390550,comment,1514812454,1,False,0,,31,Unknown,Joseph Huben,1132383,Upstate New York,,,,,,,,,,,,,,,,,,,
1514821744,5a49915f7c459f246b63d661,809,25390554,comment,1514812565,1,False,0,,0,Unknown,Rea Tarr,42543762,"Malone, NY",,,,,,,,,,,,,,,,,,,
1514816449,5a4980f57c459f246b63d649,783,25390553,comment,1514812565,1,False,0,,3,Unknown,Reddy,878252,New York,,,,,,,,,,,,,,,,,,,
1514815693,5a4980f57c459f246b63d649,783,25390559,comment,1514812718,1,False,0,,6,Unknown,Peter,67105521,CT,,,,,,,,,,,,,,,,,,,
1514816454,5a4980f57c459f246b63d649,783,25390560,comment,1514812746,1,False,0,,11,Unknown,Mogwai,69618335,CT,,,,,,,,,,,,,,,,,,,
1514816786,5a49915f7c459f246b63d661,809,25390572,comment,1514813090,1,True,0,,31,Unknown,Cynical Jack,60025446,Washington DC,,,,,,,,,,,,,,,,,,,
1514821703,5a49915f7c459f246b63d661,809,25390591,comment,1514813470,1,False,0,,2,Unknown,Gary,46834992,Manhattan NYC,,,,,,,,,,,,,,,,,,,
1514817142,5a49915f7c459f246b63d661,809,25390592,comment,1514813478,1,False,0,,8,Unknown,Rick,78937378,"Cedar Hill, TX",,,,,,,,,,,,,,,,,,,
1514817205,5a49915f7c459f246b63d661,809,25390596,comment,1514813583,1,False,0,,14,Unknown,Eli,11625730,"Ann Arbor, MI",,,,,,,,,,,,,,,,,,,
1514828373,5a49915f7c459f246b63d661,809,25390598,comment,1514813628,1,False,0,,2,Unknown,Gordon,6455957,"Pasadena, Maryland",,,,,,,,,,,,,,,,,,,
1514817204,5a49915f7c459f246b63d661,809,25390603,comment,1514813793,1,False,0,,76,Unknown,K T p,60534183,Albany NY,,,,,,,,,,,,,,,,,,,
1514817140,5a49915f7c459f246b63d661,809,25390604,comment,1514813796,1,False,0,,1,Unknown,4Average Joe,64940943,usa,,,,,,,,,,,,,,,,,,,
1514817141,5a49915f7c459f246b63d661,809,25390610,comment,1514813912,1,False,0,,3,Unknown,J,56516560,"Brooklyn, NY",,,,,,,,,,,,,,,,,,,
1514814021,5a49915f7c459f246b63d661,809,25390613,comment,1514814012,1,False,0,,4,Unknown,Jonathan,11145175,Oronoque,,,,,,,,,,,,,,,,,,,
1514816319,5a4980f57c459f246b63d649,783,25390614,comment,1514814040,1,True,0,,90,Unknown,elelcart,59528654,Tucson,,,,,,,,,,,,,,,,,,,
1514816458,5a4980f57c459f246b63d649,783,25390615,comment,1514814049,1,False,0,,9,Unknown,John Vollmer,21750044,"Bloomington, IN",,,,,,,,,,,,,,,,,,,
1514816455,5a4980f57c459f246b63d649,783,25390617,comment,1514814080,1,False,0,,1,Unknown,Daniel12,67971822,Wash d.c.,,,,,,,,,,,,,,,,,,,
1514816487,5a4980f57c459f246b63d649,783,25390619,comment,1514814116,1,False,0,,33,Unknown,Stephen V. Hulse,44383169,Baltimore,,,,,,,,,,,,,,,,,,,
1514816460,5a4980f57c459f246b63d649,783,25390624,comment,1514814239,1,False,0,,15,Unknown,Aubrey,60214723,Alabama,,,,,,,,,,,,,,,,,,,
1514816462,5a4980f57c459f246b63d649,783,25390634,comment,1514814442,1,False,0,,4,Unknown,et.al.nyc,60468609,great neck new york,,,,,,,,,,,,,,,,,,,
1514816519,5a4980f57c459f246b63d649,783,25390636,comment,1514814468,1,False,0,,57,Unknown,Edward,58030248,Upper West Side,,,,,,,,,,,,,,,,,,,
1514814520,5a49915f7c459f246b63d661,809,25390637,comment,1514814503,1,False,0,,81,Unknown,Manderine,28588861,Manhattan,,,,,,,,,,,,,,,,,,,
1514814530,5a49915f7c459f246b63d661,809,25390638,comment,1514814527,1,False,0,,6,Unknown,Aaron Adams,66138807,Carrollton Illinois,,,,,,,,,,,,,,,,,,,
1514823850,5a49915f7c459f246b63d661,809,25390639,comment,1514814530,1,False,0,,1,Unknown,Scott Wilson,75330643,St. Louis,,,,,,,,,,,,,,,,,,,
1514821713,5a49915f7c459f246b63d661,809,25390642,comment,1514814559,1,False,0,,5,Unknown,Paul Wortman,57715665,"East Setauket, NY",,,,,,,,,,,,,,,,,,,
1514823832,5a49915f7c459f246b63d661,809,25390645,comment,1514814624,1,False,0,,1,Unknown,Anne Russell,44391496,Wrightsville Beach NC,,,,,,,,,,,,,,,,,,,
1514816463,5a4980f57c459f246b63d649,783,25390649,comment,1514814696,1,False,0,,45,Unknown,newell mccarty,58421257,"Tahlequah, OK",,,,,,,,,,,,,,,,,,,
1514817145,5a49915f7c459f246b63d661,809,25390650,comment,1514814713,1,False,0,,10,Unknown,Heidi,3572867,Akron,,,,,,,,,,,,,,,,,,,
1514816454,5a4980f57c459f246b63d649,783,25390651,comment,1514814729,1,False,0,,11,Unknown,MDM,58554435,"Akron, OH",,,,,,,,,,,,,,,,,,,
1514816459,5a4980f57c459f246b63d649,783,25390652,comment,1514814740,1,False,0,,14,Unknown,Ellen Silbergeld,47915686,Baltimore,,,,,,,,,,,,,,,,,,,
1514829998,5a4a0dc97c459f246b63d6c3,1128,25390656,comment,1514814801,1,False,0,,24,Unknown,WhoZher,39745784,Indiana,,,,,,,,,,,,,,,,,,,
1514823833,5a49915f7c459f246b63d661,809,25390658,comment,1514814832,1,False,0,,1,Unknown,John tracz,58755020,Plainville Connecticut,,,,,,,,,,,,,,,,,,,
